,has_link,has_attachment,urgency_score,spelling_errors,email_length_words,is_phishing,subject_Claim Your Reward Now,subject_Interview Schedule,subject_Invoice Attached,subject_Meeting Reminder,subject_Project Update,subject_Suspicious Login Attempt,subject_Urgent Account Verification,subject_Weekly Newsletter,subject_Your Password Will Expire,Domain_company-secure,Domain_gmail,Domain_outlook,Domain_paypal-alert,Extension_net
0,0,1,-1.2404006652628639,-1.1555905887796,1.1910862610963815,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
1,1,1,1.0920146257937386,1.0259450426813492,-0.9277307583817258,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1
2,1,1,0.7588124413570813,1.960888884736042,-0.8268347098351493,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0
3,0,1,1.0920146257937386,1.3375929900329135,-0.38541449744387696,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0
4,1,0,0.4256102569204237,0.09100120062665669,-0.4610865338538093,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0
5,0,0,1.4252168102303961,0.09100120062665669,-0.5619825824003859,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0
6,0,0,-1.2404006652628639,-0.5322946940764718,-0.2592944367606563,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
7,1,0,1.4252168102303961,1.960888884736042,-0.6124306066736741,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0
8,1,0,-0.24079411195289127,-0.5322946940764718,0.7370540426367871,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
9,0,1,-0.5739962963895487,-0.5322946940764718,0.5100379334069899,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
10,1,1,-0.24079411195289127,-0.5322946940764718,-0.09533835787246939,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
11,1,1,0.7588124413570813,-0.22064674672490753,-1.1547468676115231,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
12,1,1,-0.9071984808262062,-0.5322946940764718,1.7460145281025523,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
13,0,1,-1.2404006652628639,-1.1555905887796,1.0271301822081946,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
14,0,1,-0.5739962963895487,-0.5322946940764718,1.5946704552826876,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
15,1,1,1.0920146257937386,-0.22064674672490753,-1.2304189040214555,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0
16,1,0,0.7588124413570813,1.6492409373844779,-0.398026503512199,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0
17,0,1,-0.9071984808262062,-0.843942641428036,-0.398026503512199,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
18,0,1,-0.9071984808262062,-0.843942641428036,0.4343658969970574,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
19,1,1,1.0920146257937386,1.6492409373844779,-0.23407042462401212,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
20,1,1,0.4256102569204237,1.960888884736042,-0.2845184488973004,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
21,1,1,-1.2404006652628639,-0.5322946940764718,1.2289222793013477,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
22,1,1,-0.24079411195289127,-0.843942641428036,1.5189984188727552,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
23,1,1,0.7588124413570813,0.09100120062665669,-0.18362240035072386,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1
24,1,1,0.4256102569204237,1.6492409373844779,-0.30974246103394454,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0
25,1,1,0.4256102569204237,1.0259450426813492,-1.2304189040214555,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
26,1,0,-1.5736028496995214,-1.1555905887796,-0.007054315394214918,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
27,1,1,1.4252168102303961,1.0259450426813492,-1.2556429161580995,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1
28,1,0,0.7588124413570813,-0.22064674672490753,-0.6250426127419962,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
29,1,0,1.4252168102303961,0.7142970953297851,-0.23407042462401212,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0
30,1,1,-0.9071984808262062,-0.843942641428036,1.682954497760942,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
31,1,0,0.7588124413570813,0.7142970953297851,-0.965566776586692,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0
32,0,0,-1.5736028496995214,-0.843942641428036,1.5442224310093993,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
33,0,0,-0.9071984808262062,-1.1555905887796,1.9982546494689937,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
34,1,1,0.4256102569204237,0.7142970953297851,-1.1169108494065567,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1
35,0,1,-0.5739962963895487,-1.1555905887796,1.4433263824628229,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
36,1,1,1.4252168102303961,0.40264914797822093,-0.19623440641904594,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0
37,0,0,-1.2404006652628639,-0.5322946940764718,1.4307143763945007,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
